date,cpi,fed_rate,unemployment,oil,gold,dxy,gdp,us10y,vix,gpr,indpro,neworder,cpi_yoy,fed_6m,unemp_6m,oil_yoy,gold_yoy,dxy_yoy,us10y_6m,vix_ratio,gpr_ratio,indpro_yoy,neworder_yoy,cluster,cluster_name,ym,cluster_new,cluster_name_new
2014-03-31,236.028,0.08,6.7,101.58000183105467,1283.4000244140625,80.0999984741211,3.13301748764181,2.7230000495910645,14.836666742960611,119.83855438232422,101.8942,68418.0,1.6126949139408042,0.0,-0.5,4.473926076246371,-19.525960300972045,-3.482346624942023,0.1080000400543212,1.019230622304992,1.416736845931432,2.724108069090181,3.8240917782026873,2.0,Disinflation Normal,2014-03,2,Growth Risk-On
2014-04-30,236.468,0.09,6.2,99.73999786376952,1295.5999755859375,79.48999786376953,3.13301748764181,2.6480000019073486,14.198095321655272,93.22154235839844,101.9928,66400.0,2.015125303606169,0.0,-1.0,6.719450931751836,-11.99565150408839,-2.740738286014066,0.1059999465942382,0.974075707645788,1.104121168437559,2.9123215934373725,-2.1139841377480373,2.0,Disinflation Normal,2014-04,2,Growth Risk-On
2014-05-31,236.918,0.09,6.3,102.70999908447266,1245.5999755859375,80.37000274658203,3.13301748764181,2.4570000171661377,12.475238028026762,83.4288558959961,102.3836,66155.0,2.166947687079812,0.0099999999999999,-0.6000000000000005,11.677718518233403,-10.5557951010411,-3.609971942896117,-0.2839999198913574,0.86088962606608,0.988417455018171,3.226027611336124,-4.759505333928393,2.0,Disinflation Normal,2014-05,2,Growth Risk-On
2014-06-30,237.231,0.1,6.1,105.37000274658205,1321.800048828125,79.77999877929688,3.13301748764181,2.5160000324249268,11.541428565979004,98.76710510253906,102.735,69702.0,2.0589816945944195,0.01,-0.6000000000000005,9.123866415429704,8.007844099519513,-4.075988294195032,-0.5099999904632573,0.823588022446618,1.1521701540455662,3.365841732090935,0.303636442129207,2.0,Disinflation Normal,2014-06,2,Growth Risk-On
2014-07-31,237.498,0.09,6.2,98.16999816894533,1281.300048828125,81.45999908447266,3.13301748764181,2.555999994277954,12.296363613822244,138.7539520263672,102.9632,67519.0,1.9742378703305967,0.0199999999999999,-0.3999999999999994,-6.531467856880302,-2.3697024540838774,0.012280094051853,-0.1119999885559082,0.8863045087818474,1.522746448095225,3.9177888079901857,1.893939393939404,2.0,Disinflation Normal,2014-07,2,Growth Risk-On
2014-08-31,237.46,0.09,6.1,95.95999908447266,1285.800048828125,82.75,3.13301748764181,2.3429999351501465,13.497142927987236,136.44558715820312,102.7688,68326.0,1.7150983482969062,0.0199999999999999,-0.6000000000000005,-10.85926825425636,-7.900575079626371,0.804000111527281,-0.3150000572204585,0.9770384778972948,1.4376072606087902,3.1253041765382905,3.701792462853071,2.0,Disinflation Normal,2014-08,2,Growth Risk-On
2014-09-30,237.477,0.09,5.9,91.16000366210938,1210.5,85.94000244140625,3.13301748764181,2.507999897003174,13.466666630336215,131.55665588378906,103.0641,69490.0,1.6840509711232077,0.0099999999999999,-0.7999999999999998,-10.915663020691436,-8.74481718808896,7.130392836776611,-0.2150001525878906,0.9820916455972248,1.3492570843963727,2.89843352202952,4.560706601062314,2.0,Disinflation Normal,2014-09,2,Growth Risk-On
2014-10-31,237.43,0.09,5.7,80.54000091552734,1171.0999755859375,86.87999725341797,3.13301748764181,2.3350000381469727,18.01608711740245,83.66100311279297,103.0764,65806.0,1.6095417021513292,0.0,-0.5,-16.43494167803462,-11.521607948994603,8.329177754815609,-0.312999963760376,1.2933685292385375,0.8502535807896424,2.9919466037849007,1.2976617459169004,2.0,Disinflation Normal,2014-10,2,Growth Risk-On
2014-11-30,236.983,0.09,5.8,66.1500015258789,1175.199951171875,88.36000061035156,3.13301748764181,2.194000005722046,13.41315786462081,84.38005065917969,103.7126,63797.0,1.231524989320798,0.0,-0.5,-28.656168404893744,-6.029108098993497,9.519088096338413,-0.2630000114440918,0.9601162065364308,0.8527937201316871,3.38610667511996,-6.620316159250583,2.0,Disinflation Normal,2014-11,2,Growth Risk-On
2014-12-31,236.252,0.12,5.6,53.27000045776367,1183.9000244140625,90.2699966430664,3.13301748764181,2.1700000762939453,16.3118182962591,86.5262222290039,103.7044,66039.0,0.6531213919623191,0.0199999999999999,-0.5,-45.87482071852743,-1.4976287240509143,12.781103961175113,-0.3459999561309814,1.1530257324383966,0.8627465802027454,3.170492700276073,-2.2976091845188784,2.0,Disinflation Normal,2014-12,2,Growth Risk-On
2015-01-31,234.747,0.11,5.7,48.2400016784668,1278.5,94.8000030517578,3.11378907834427,1.6749999523162842,19.119499969482423,111.9856948852539,102.8905,64918.0,-0.2299309782054281,0.02,-0.5,-50.5179990403976,3.0965265035118428,16.64821824481484,-0.8810000419616699,1.3137377183662116,1.085861565492778,2.7262407410550527,-4.897379176982463,2.0,Disinflation Normal,2015-01,2,Growth Risk-On
